epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.675,1.31542,2.18381,3.21012,1.24362,0.55904,0.57708,0.62583,0.38327,0.57481,0.58247,0.63444,0.38724,1.33776,2.10863,2.43683,1.31948,0.0033307,0.0033307,0.0033307
2,361.258,1.32821,2.08306,2.06169,1.25805,0.71141,0.64455,0.70182,0.41129,0.74474,0.65136,0.71649,0.42817,1.39951,2.25346,1.73767,1.39048,0.00665744,0.00665744,0.00665744
3,532.341,1.39408,2.19953,1.76876,1.32133,0.4662,0.59562,0.56624,0.34505,0.49479,0.62023,0.58579,0.35638,1.43773,2.36882,1.8399,1.43272,0.00997757,0.00997757,0.00997757
4,702.152,1.41946,2.218,1.60712,1.34613,0.67364,0.63893,0.6726,0.41325,0.69478,0.65484,0.69064,0.42233,1.34703,2.18689,1.42311,1.39273,0.0099703,0.0099703,0.0099703
5,871.856,1.39172,2.17068,1.49621,1.33371,0.6987,0.66005,0.68212,0.42886,0.72318,0.67667,0.70454,0.443,1.39294,2.10293,1.30031,1.41593,0.0099604,0.0099604,0.0099604
6,1041.5,1.37597,2.14403,1.43308,1.32703,0.70693,0.66871,0.71823,0.44475,0.72951,0.68226,0.73932,0.4555,1.3682,2.11642,1.23642,1.40986,0.0099505,0.0099505,0.0099505
7,1211.58,1.34792,2.09136,1.34736,1.30691,0.71492,0.64557,0.71824,0.45509,0.73971,0.66657,0.73558,0.46475,1.32322,2.05773,1.20666,1.3925,0.0099406,0.0099406,0.0099406
8,1381.63,1.32386,2.05412,1.30715,1.28668,0.7327,0.68791,0.7334,0.45216,0.7509,0.70602,0.74962,0.45558,1.33743,2.06256,1.18132,1.35129,0.0099307,0.0099307,0.0099307
9,1551.29,1.31395,2.01051,1.27469,1.27537,0.71042,0.66937,0.72036,0.44863,0.74355,0.68481,0.75065,0.46154,1.39678,2.04231,1.18761,1.39088,0.0099208,0.0099208,0.0099208
10,1721.28,1.29408,1.99545,1.22459,1.26363,0.78466,0.67485,0.76381,0.48033,0.82852,0.68493,0.78528,0.48908,1.32986,2.01413,1.13221,1.36266,0.0099109,0.0099109,0.0099109
11,1891.69,1.28101,1.96918,1.21447,1.25062,0.75037,0.66712,0.74403,0.47448,0.77852,0.68806,0.7694,0.48305,1.33108,1.96827,1.14517,1.37687,0.009901,0.009901,0.009901
